f1_name,f2_name,market_prob_f1,gen_prob_f1,ud_prob_f1,blended_prob_f1,blended_edge,target,price_f1
Robert Ruchala,William Gomis,0.3125,0.2484796643257141,0.3590491,0.320349794626236,0.007849794626235973,0,220
Brendson Ribeiro,Oumar Sy,0.1923076923076923,0.2091005817055702,0.20169523,0.20428709499537945,0.011979402687687157,0,420
Harry Hardwick,Kaue Fernandes,0.3623188405797101,0.0904451869428157,0.27783912,0.21225124318152663,-0.15006759739818346,0,176
Trey Waters,Sam Patterson,0.3816793893129771,0.4677660018205642,0.39004865,0.4172497056424618,0.03557031632948465,0,162
Robert Bryczek,Brad Tavares,0.373134328358209,0.2529435008764267,0.31317154,0.29209171012043955,-0.08104261823776943,1,168
Shauna Bannon,Sam Hughes,0.3076923076923077,0.4733368158340454,0.39027905,0.41934924721717837,0.11165693952487066,0,225
Geoff Neal,Carlos Prates,0.3333333333333333,0.2873909324407577,0.42639777,0.37774535492062566,0.04441202158729235,0,200
Jared Cannonier,Michael Page,0.3846153846153846,0.4217037707567215,0.56841207,0.517064144462347,0.13244875984696247,0,160
Dione Barbosa,Karine Silva,0.373134328358209,0.301951453089714,0.43076953,0.3856831885874271,0.01254886022921814,0,168
Joseph Morales,Alibi Idiris,0.2061855670103092,0.48189677298069,0.5930635,0.5541551224887371,0.3479695554784279,1,385
Ode Osbourne,Steve Erceg,0.1851851851851851,0.3512315154075622,0.09887047,0.1871968328952789,0.0020116477100937946,0,440
Andre Fili,Christian Rodriguez,0.3278688524590163,0.2170810103416443,0.5754903,0.45004703104496,0.12217817858594371,1,205
Miles Johns,Jean Matsumoto,0.3174603174603174,0.2854815423488617,0.3273213,0.312677364051342,-0.004782953408975388,0,215
Eryk Anders,Christian Leroy Duncan,0.2083333333333333,0.3359062671661377,0.27302942,0.2950363129377365,0.08670297960440324,0,380
Toshiomi Kazama,Elijah Smith,0.1492537313432835,0.1738114282488823,0.19203143,0.18565442599356174,0.03640069465027823,0,570
Priscila Cachoeira,Joselyne Edwards,0.2325581395348837,0.2833511233329773,0.28440008,0.284032928943634,0.05147478940875033,0,330
Gilbert Urbina,Uros Medic,0.2702702702702703,0.4234916120767593,0.33581716,0.3665032140910625,0.09623294382079223,0,270
Julija Stoliarenko,Gabriella Fernandes,0.2222222222222222,0.308213323354721,0.35329133,0.3375140145421028,0.11529179231988057,0,350
Eric McConico,Cody Brundage,0.3448275862068966,0.1459409445524215,0.5907059,0.43503814712166783,0.09021056091477125,1,190
Chris Duncan,Mateusz Rebecki,0.3355704697986577,0.5377168506383896,0.38998723,0.4416925974190235,0.10612212762036582,1,198
Elves Brener,Esteban Ribovics,0.3174603174603174,0.4332168400287628,0.27156314,0.3281419351696968,0.01068161770937942,0,215
Danny Silva,Kevin Vallejos,0.25,0.4352183640003204,0.4097683,0.41867583245038986,0.16867583245038986,0,300
John Yannis,Austin Bashi,0.1204819277108433,0.1275163069367408,0.056708016,0.08149091638624664,-0.03899101132459666,0,730
Felipe Bunes,Rafael Estevam,0.1694915254237288,0.2800824344158172,0.22000353,0.2410311385989189,0.07153961317519009,0,490
Ketlen Souza,Piera Rodriguez,0.3225806451612903,0.3064238727092743,0.23168758,0.25784527212381364,-0.06473537303747667,0,210
Marvin Vettori,Brendan Allen,0.3333333333333333,0.2709910422563553,0.35973072,0.3286718182265759,-0.004661515106757441,0,200
Adam Fugitt,Islam Dulatov,0.238095238095238,0.3125047087669372,0.20135464,0.24025715291500088,0.0021619148197628835,0,320
Charles Oliveira,Ilia Topuria,0.238095238095238,0.1923285946249961,0.5411505,0.4190628189593553,0.18096758086411732,0,320
Kai Kara-France,Alexandre Pantoja,0.3278688524590163,0.3510603755712509,0.22725031,0.2705838240683079,-0.057285028390708426,0,205
Jack Hermansson,Gregory Rodrigues,0.3676470588235294,0.4319015443325043,0.33760214,0.37060692459344863,0.0029598657699192454,0,172
Viviane Araujo,Tracy Cortez,0.3623188405797101,0.289932906627655,0.41123393,0.3687785536050796,0.006459713025369518,0,176
Rizvan Kuniev,Curtis Blaydes,0.3355704697986577,0.3029774278402328,0.42134288,0.3799149520695209,0.04434448227086324,0,198
Tofiq Musayev,Myktybek Orolbai,0.390625,0.1198966279625892,0.2325473,0.19311955980956552,-0.19750544019043448,0,156
Nikolas Motta,Nazim Sadykhov,0.2325581395348837,0.4004589915275574,0.2977112,0.3336729228496551,0.10111478331477142,0,330
